2013,1,1264,NP,Catsimatidis,John,A,I,12,,,R0009716,E,Audio Incorporated,Y,CORP,,,,Roselle Park,NJ,07204,Z,90.63,9/16/2013,,,Other,Refund,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,6,,,R0000051,E,"Coenen, Glenn",N,IND,,,,Downingtown,PA,19335,Z,300.00,1/5/2013,,,Other,csmart assistance,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,6,,,R0000052,E,"Lloyd, Gregory",N,IND,,,,Holland,PA,18966,,300.00,1/5/2013,,,Other,website development,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000058,E,Staples,Y,CORP,,,,New York,NY,10065,M,2.70,2/4/2013,,,Other,printing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000059,E,Staples,Y,CORP,,,,New York,NY,10065,M,1.74,2/5/2013,,,Other,printing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000061,E,The UPS store,Y,OTHR,,,,New York,NY,10065,M,6.79,2/5/2013,,,Other,mailing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000062,E,Staples,Y,CORP,,,,New York,NY,10065,M,2.43,2/5/2013,,,Other,printing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000063,E,Staples,Y,CORP,,,,New York,NY,10065,M,0.76,2/5/2013,,,Other,printing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000064,E,Staples,Y,CORP,,,,New York,NY,10065,M,25.88,2/5/2013,,,Other,office supplies,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000065,E,Staples,Y,CORP,,,,New York,NY,10065,M,45.00,2/5/2013,,,Other,permit,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000068,E,Lowes,Y,CORP,,,,Stony Brook,NY,11790,Z,19.98,2/10/2013,,,Other,supplies,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000069,E,Staples,Y,CORP,,,,New York,NY,10065,M,14.14,2/11/2013,,,Other,supplies,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000074,E,Central Parking Sys on NY Inc.,Y,CORP,,,,New York,NY,10022,M,23.00,2/12/2013,,,Other,parking,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000076,E,Le Pain Quotidien,Y,OTHR,,,,New York,NY,10007,M,26.18,2/12/2013,,,Other,food,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000078,E,Central Parking System,Y,CORP,,,,New York,NY,10007,M,40.00,2/12/2013,,,Other,parking,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000079,E,Staples (Lake Grove),Y,CORP,,,,Lake Grove,NY,11755,,2.15,3/8/2013,,,Other,printing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000089,E,"Coenen, Kevin P",N,CAN,,,,Nesconset,NY,11767,Z,80.00,3/1/2013,,,Other,phone,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000091,E,Chase,Y,CORP,,,,Lake Grove,NY,11755,Z,34.00,3/4/2013,,,Other,check fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000092,E,Chase,Y,CORP,,,,Lake Grove,NY,11755,Z,34.00,3/6/2013,,,Other,check fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,7,,,R0000093,E,Go Daddy.com,Y,CORP,,,,Scottsdale,AZ,85260,Z,14.97,1/14/2013,,,Other,refund,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000099,E,Staples (Lake Grove),Y,CORP,,,,Lake Grove,NY,11755,,216.78,5/1/2013,,,Other,Canon copier,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000100,E,Staples,Y,CORP,,,,New York,NY,10065,M,4.92,4/14/2013,,,Other,printing,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000101,E,Staples,Y,CORP,,,,New York,NY,10065,M,12.61,4/29/2013,,,Other,paper,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000104,E,Apple,Y,CORP,,,,New York,NY,10153,M,149.95,4/29/2013,,,Other,printer,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000107,E,Canon,Y,CORP,,,,Pleasant Prairie,WI,53158,Z,107.78,5/5/2013,,,Other,copier ink,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000108,E,CBS Radio,Y,CORP,,,,New York,NY,10036,,3500.00,4/4/2013,,,Other,radio ads,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000111,E,Chase,Y,CORP,,,,Lake Grove,NY,11755,Z,18.00,3/29/2013,,,Other,fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000112,E,Intuit Merchant Solutions,Y,CORP,,,,Woodland Hills,CA,91367,,19.95,4/1/2013,,,Other,transaction fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000113,E,Authorize.net,Y,CORP,,,,San Francisco,CA,94128,Z,54.95,4/2/2013,,,Other,bill,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000114,E,Intuit Merchant Solutions,Y,CORP,,,,Woodland Hills,CA,91367,,10.00,4/2/2013,,,Other,transaction fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000115,E,Intuit Merchant Solutions,Y,CORP,,,,Woodland Hills,CA,91367,,4.41,4/22/2013,,,Other,fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000116,E,Intuit Merchant Solutions,Y,CORP,,,,Woodland Hills,CA,91367,,18.00,4/30/2013,,,Other,bank fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000117,E,Intuit Merchant Solutions,Y,CORP,,,,Woodland Hills,CA,91367,,19.95,5/1/2013,,,Other,fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000118,E,Authorize.net,Y,CORP,,,,San Francisco,CA,94128,Z,55.20,5/2/2013,,,Other,fee,N,
2013,1,1286,P,"Coenen, Jr.",Kevin,P,I,8,,,R0000119,E,Intuit Merchant Solutions,Y,CORP,,,,Woodland Hills,CA,91367,,11.74,5/2/2013,,,Other,fee,N,
2013,1,1518,UN,Allon,Tom,F,H,6,,,R0001806,E,Capital One,Y,CORP,,,,McLean,VA,22102,Z,237.53,8/15/2012,,,Other,Vendor Rebate,N,
2013,1,1605,NP,McDonald,George,T,H,10,,,R0001886,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.42,7/12/2013,,,Interest/Dividends,int on mm,N,
2013,1,1605,NP,McDonald,George,T,H,10,,,R0001917,E,Staples,Y,CORP,,,,New York,NY,10028,M,359.36,7/16/2013,,,Other,Return of Merchandis,N,
2013,1,1605,NP,McDonald,George,T,H,11,,,R0002081,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.67,8/13/2013,,,Interest/Dividends,int on mm,N,
2013,1,1605,NP,McDonald,George,T,H,11,,,R0002099,E,Staples,Y,CORP,,,,Mt Kisco,NY,10548,Z,41.86,8/21/2013,,,Other,refund of purh item,N,
2013,1,1605,NP,McDonald,George,T,H,12,,,R0002164,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.59,9/13/2013,,,Interest/Dividends,MMA int acct 8667,N,
2013,1,1605,NP,McDonald,George,T,H,6,,,R0000288,E,"Qgiv, Inc",Y,OTHR,,,,Lakeland,FL,33801,Z,5.00,11/29/2012,,,Other,Credit Card Test,N,
2013,1,1605,NP,McDonald,George,T,H,6,,,R0000289,E,"Qgiv, Inc",Y,OTHR,,,,Lakeland,FL,33801,Z,2.00,12/3/2012,,,Other,credit card test,N,
2013,1,1605,NP,McDonald,George,T,H,7,,,R0000494,E,Google,Y,CORP,,,,Mountian View,CA,94043,Z,0.75,1/30/2013,,,Other,Add words refund,N,
2013,1,1605,NP,McDonald,George,T,H,7,,,R0000514,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.00,1/18/2013,,,Interest/Dividends,interest,N,
2013,1,1605,NP,McDonald,George,T,H,7,,,R0000515,E,Citibank,Y,CORP,,,,New York,NY,10028,M,2.75,2/20/2013,,,Interest/Dividends,Interest,N,
